User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement,iReady_Placement
860424,School10,3,Reading,510,Grade,2
860894,School5,3,Reading,555,Mid,3
862142,School10,3,Reading,668,Grade,6
863586,School3,3,Reading,574,Late,3
864153,School14,3,Reading,508,Grade,2
864962,School6,3,Reading,559,Mid,3
870167,School10,3,Reading,558,Mid,3
871965,School15,3,Reading,522,Early,3
872990,School3,3,Reading,513,Early,3
874758,School15,3,Reading,538,Early,3
878130,School10,3,Reading,485,Grade,2
878484,School1,3,Reading,560,Mid,3
881187,School12,3,Reading,503,Grade,2
881239,School14,3,Reading,607,Grade,4
881737,School14,3,Reading,526,Early,3
881811,School6,3,Reading,466,Grade,1
884417,School11,3,Reading,604,Grade,4
886077,School12,3,Reading,529,Early,3
890390,School12,3,Reading,516,Early,3
891807,School1,3,Reading,532,Early,3
900388,School11,3,Reading,653,Grade,6
903539,School14,3,Reading,536,Early,3
907091,School11,3,Reading,617,Grade,4
907882,School1,3,Reading,565,Late,3
908911,School10,3,Reading,608,Grade,4
910179,School14,3,Reading,501,Grade,2
910806,School6,3,Reading,580,Late,3
913229,School11,3,Reading,665,Grade,6
913745,School12,3,Reading,547,Mid,3
914581,School11,3,Reading,642,Grade,6
916436,School12,3,Reading,544,Early,3
918675,School12,3,Reading,444,Grade,1
921039,School11,3,Reading,636,Grade,5
921617,School12,3,Reading,560,Mid,3
922399,School15,3,Reading,528,Early,3
922586,School14,3,Reading,569,Grade,4
923284,School11,3,Reading,575,Late,3
924100,School14,3,Reading,539,Early,3
924747,School6,3,Reading,532,Early,3
926414,School5,3,Reading,571,Late,3
926673,School3,3,Reading,565,Late,3
928555,School5,3,Reading,501,Grade,2
928638,School6,3,Reading,496,Grade,2
933650,School6,3,Reading,577,Late,3
933761,School14,3,Reading,535,Early,3
936066,School10,3,Reading,92,Grade,1
936841,School3,3,Reading,542,Early,3
937272,School6,3,Reading,544,Early,3
943917,School10,3,Reading,488,Grade,2
943951,School11,3,Reading,504,Grade,2
946164,School1,3,Reading,584,Late,3
948524,School6,3,Reading,539,Early,3
951265,School6,3,Reading,573,Late,3
953471,School6,3,Reading,418,Grade,0
956155,School12,3,Reading,570,Late,3
960414,School15,3,Reading,493,Grade,2
961299,School10,3,Reading,497,Grade,2
969033,School11,3,Reading,638,Grade,5
975174,School12,3,Reading,515,Early,3
975582,School6,3,Reading,485,Grade,2
980107,School12,3,Reading,580,Late,3
980975,School6,3,Reading,445,Grade,1
982007,School12,3,Reading,573,Late,3
982340,School10,3,Reading,597,Late,3
986242,School6,3,Reading,595,Late,3
987179,School14,3,Reading,580,Late,3
987820,School6,3,Reading,599,Late,3
988120,School11,3,Reading,664,Grade,6
988158,School1,3,Reading,596,Late,3
988604,School12,3,Reading,577,Late,3
993265,School14,3,Reading,597,Late,3
994950,School15,3,Reading,543,Early,3
994998,School6,3,Reading,520,Early,3
998255,School15,3,Reading,494,Grade,2
998279,School6,3,Reading,539,Early,3
103606,School1,4,Reading,646,Grade,6
