User_ID,School,Student_Grade,iReady_Subject,iReady_Score,iReady_Placement
212005,School8,8,Reading,622,Early 8
212178,School13,7,Reading,698,Grade 9
212776,School5,5,Reading,596,Early 5
212969,School12,5,Reading,546,Grade 4
213046,School11,5,Reading,543,Grade 4
213100,School8,8,Reading,615,Grade 7
213325,School1,4,Reading,538,Grade 3
213713,School7,7,Reading,597,Grade 6
213879,School11,3,Reading,469,Grade 1
214055,School11,3,Reading,666,Grade 6
214102,School6,3,Reading,523,Early 3
214190,School5,5,Reading,556,Grade 4
214272,School13,7,Reading,556,Grade 4
215452,School7,8,Reading,721,Grade 10
215632,School8,7,Reading,509,Grade 3
215695,School1,3,Reading,567,Late 3
215889,School7,8,Reading,666,Mid 8
217075,School7,8,Reading,688,Grade 9
217306,School3,5,Reading,661,Grade 7
217818,School8,6,Reading,597,Grade 5
218062,School8,8,Reading,599,Grade 7
218240,School3,5,Reading,568,Grade 4
219102,School15,3,Reading,460,Grade 1
219387,School6,4,Reading,549,Grade 3
219603,School1,3,Reading,552,Mid 3
219685,School7,7,Reading,674,Grade 8
219800,School15,3,Reading,569,Late 3
220938,School12,3,Reading,490,Grade 2
220995,School7,6,Reading,590,Grade 5
221600,School1,3,Reading,561,Late 3
221637,School7,6,Reading,605,Early 6
221702,School13,8,Reading,585,Grade 6
221811,School7,8,Reading,598,Grade 7
221890,School7,8,Reading,683,Late 8
222090,School8,7,Reading,614,Early 7
222108,School12,5,Reading,573,Grade 4
222790,School6,4,Reading,590,Mid 4
223284,School6,5,Reading,624,Mid 5
223501,School7,7,Reading,606,Grade 6
223934,School1,4,Reading,417,Grade K
224016,School2,3,Reading,488,Grade 2
224066,School11,5,Reading,678,Grade 8
224714,School1,4,Reading,613,Late 4
224883,School6,5,Reading,523,Grade 3
225003,School6,4,Reading,564,Early 4
225016,School10,4,Reading,504,Grade 3
225162,School7,8,Reading,526,Grade 3
225513,School8,8,Reading,552,Grade 4
226115,School13,6,Reading,616,Mid 6
226855,School8,8,Reading,566,Grade 5
227374,School7,6,Reading,660,Grade 7
227382,School6,3,Reading,557,Mid 3
227858,School7,6,Reading,676,Grade 8
227866,School6,3,Reading,537,Early 3
228013,School8,6,Reading,547,Grade 4
229868,School15,4,Reading,574,Early 4
230113,School9,5,Reading,532,Grade 3
230811,School8,8,Reading,483,Grade 2
230985,School8,8,Reading,599,Grade 7
231157,School11,4,Reading,534,Grade 3
231318,School5,4,Reading,604,Late 4
231345,School7,7,Reading,589,Grade 6
231772,School7,6,Reading,554,Grade 4
232100,School8,8,Reading,613,Grade 7
232667,School7,8,Reading,613,Grade 7
232773,School8,8,Reading,602,Grade 7
232858,School6,4,Reading,572,Early 4
232987,School7,7,Reading,553,Grade 4
233313,School7,7,Reading,663,Late 7
233569,School15,5,Reading,516,Grade 3
233692,School12,5,Reading,664,Grade 7
233780,School13,7,Reading,666,Late 7
233901,School15,5,Reading,609,Mid 5
234189,School1,3,Reading,503,Grade 2
235626,School7,8,Reading,564,Grade 4
235681,School13,7,Reading,680,Grade 8
235865,School1,4,Reading,560,Early 4
236165,School1,3,Reading,401,Grade K
236184,School8,7,Reading,607,Grade 6
236652,School8,8,Reading,604,Grade 7
237018,School13,6,Reading,507,Grade 3
237306,School1,4,Reading,612,Late 4
237483,School7,7,Reading,589,Grade 6
237947,School13,7,Reading,536,Grade 3
238101,School6,3,Reading,517,Early 3
238197,School11,4,Reading,671,Grade 7
238367,School6,3,Reading,521,Early 3
238794,School6,5,Reading,654,Grade 7
239151,School4,8,Reading,606,Grade 7
239694,School8,6,Reading,666,Grade 7
239792,School1,5,Reading,603,Early 5
239896,School1,5,Reading,495,Grade 2
240042,School8,6,Reading,703,Grade 9
240125,School4,8,Reading,513,Grade 3
240153,School13,8,Reading,460,Grade 1
240175,School11,5,Reading,568,Grade 4
240305,School13,8,Reading,521,Grade 3
240493,School5,5,Reading,575,Grade 4
240524,School10,5,Reading,578,Grade 4
240702,School7,6,Reading,675,Grade 8
240720,School7,7,Reading,645,Mid 7
240795,School7,6,Reading,635,Mid 6
241040,School11,5,Reading,704,Grade 8
241192,School7,8,Reading,615,Grade 7
241205,School15,5,Reading,594,Early 5
241549,School7,7,Reading,665,Late 7
241915,School13,7,Reading,525,Grade 3
242047,School11,5,Reading,523,Grade 3
243083,School13,8,Reading,525,Grade 3
244829,School7,6,Reading,598,Early 6
245482,School11,3,Reading,628,Grade 4
246303,School8,8,Reading,474,Grade 2
246488,School6,4,Reading,585,Mid 4
246611,School7,6,Reading,652,Late 6
246618,School10,5,Reading,526,Grade 3
